Дата		Година		Код клієнта	Код послуги	Прибуток	Сума
05.04.2021	14			001			004			30			270
05.04.2021	15			003			008			60			320
05.04.2021	17			002			012			45			240
05.04.2021	18			002			011			150			800
06.04.2021	12			004			002			24			189
06.04.2021	14			005			002			45			210
06.04.2021	15			005			001			120			560
07.04.2021	12			008			011			150			800
07.04.2021	12			007			002			24			189
08.04.2021	14			001			001			64			504
08.04.2021	14			006			010			35			360
08.04.2021	16			006			012			21			216
08.04.2021	17			006			011			70			720
09.04.2021	13			009			012			45			240
09.04.2021	15			010			002			45			210
