Lviv|01.10.20|03:00|5|767|SW
Lviv|01.10.20|09:00|16|763|S
Lviv|01.10.20|15:00|18|766|S
Lviv|01.10.20|21:00|14|768|none
Kyiv|01.10.20|03:00|2|760|W
Kyiv|01.10.20|09:00|9|764|none
Kyiv|01.10.20|15:00|16|763|S
Kyiv|01.10.20|21:00|12|761|S
Odessa|01.10.20|03:00|10|762|S
Odessa|01.10.20|09:00|14|762|none
Odessa|01.10.20|15:00|21|762|SE
Odessa|01.10.20|21:00|17|762|S
Lviv|02.10.20|03:00|7|764|S
Lviv|02.10.20|09:00|12|765|SW
Lviv|02.10.20|15:00|19|762|SW
Lviv|02.10.20|21:00|15|761|SW
Kyiv|02.10.20|03:00|4|761|S
Kyiv|02.10.20|09:00|15|767|SW
Kyiv|02.10.20|15:00|18|768|S
Kyiv|02.10.20|21:00|16|763|S
Odessa|02.10.20|03:00|14|766|SE
Odessa|02.10.20|09:00|17|768|E
Odessa|02.10.20|15:00|24|764|E
Odessa|02.10.20|21:00|18|762|SE
Lviv|03.10.20|03:00|9|765|W
Lviv|03.10.20|09:00|17|767|W
Lviv|03.10.20|15:00|20|764|SW
Lviv|03.10.20|21:00|15|763|W
Kyiv|03.10.20|03:00|8|762|SE
Kyiv|03.10.20|09:00|14|761|SE
Kyiv|03.10.20|15:00|25|764|S
Kyiv|03.10.20|21:00|15|765|SE
Odessa|03.10.20|03:00|12|761|S
Odessa|03.10.20|09:00|19|760|SW
Odessa|03.10.20|15:00|25|763|SW
Odessa|03.10.20|21:00|20|765|SW
